timestamp,vehicleId,speed,heading,longitude,latitude
5.3454,376,33.29,23.6,-8650550,443393790
5.54513,376,32.39,23.6,-8650200,443394330
5.74513,376,31.49,23.6,-8649870,443394840
5.9454,376,30.59,23.6,-8649540,443395350
6.14513,376,29.69,23.6,-8649590,443395950
6.34513,376,28.79,23.6,-8649280,443396430
6.5454,376,27.89,23.6,-8648980,443396890
6.74513,376,26.99,23.6,-8648690,443397330
6.94513,376,26.27,23.6,-8648410,443397760
7.1454,376,26.27,23.6,-8648130,443398190
7.34513,376,26.27,23.6,-8647850,443398620
7.54513,376,26.27,23.6,-8647570,443399050
7.7454,376,26.27,23.6,-8647290,443399470
7.94513,376,26.27,23.6,-8647010,443399900
8.14513,376,26.27,23.6,-8646740,443400330
8.3454,376,26.27,23.6,-8646460,443400760
8.54513,376,26.27,23.6,-8646180,443401190
8.74513,376,26.27,23.6,-8645900,443401620
8.9454,376,26.27,23.6,-8645620,443402040
9.14513,376,26.27,23.6,-8645340,443402470
9.34513,376,26.27,23.6,-8645060,443402900
9.5454,376,26.27,23.6,-8644780,443403330
9.74513,376,26.27,23.6,-8644500,443403760
9.94513,376,26.27,23.6,-8644220,443404190
10.1454,376,26.27,23.6,-8643950,443404610
10.3014,450,33.25,23.6,-8651280,443394030
10.3451,376,26.27,23.6,-8643670,443405040
10.5011,450,32.77,23.6,-8650930,443394570
10.5451,376,26.27,23.6,-8643390,443405470
10.7011,450,31.87,23.6,-8650590,443395090
10.9014,450,30.97,23.6,-8650260,443395600
11.1011,450,30.07,23.6,-8649940,443396100
11.3011,450,29.17,23.6,-8649620,443396580
11.5014,450,28.27,23.6,-8649320,443397040
11.7011,450,27.37,23.6,-8649030,443397490
11.9011,450,26.58,23.6,-8648740,443397930
12.1014,450,26.58,23.6,-8648460,443398360
12.3011,450,26.58,23.6,-8648180,443398790
12.5011,450,26.58,23.6,-8647900,443399230
12.7014,450,26.58,23.6,-8647620,443399660
12.9011,450,26.58,23.6,-8647330,443400090
13.1011,450,26.58,23.6,-8647050,443400530
13.3014,450,26.58,23.6,-8646770,443400960
13.5011,450,26.58,23.6,-8646490,443401390
13.7011,450,26.58,23.6,-8646200,443401830
13.9014,450,26.58,23.6,-8645920,443402260
14.1011,450,26.58,23.6,-8645640,443402690
14.3011,450,26.58,23.6,-8645360,443403130
14.5014,450,26.58,23.6,-8645080,443403560
14.7011,450,26.58,23.6,-8644790,443403990
14.9011,450,26.58,23.6,-8644510,443404430
15.1014,450,26.58,23.6,-8644230,443404860
15.3011,450,26.58,23.6,-8643950,443405290
15.5011,450,26.58,23.6,-8643660,443405730
