timestamp,vehicleId,speed,heading,longitude,lattitude
0.665069,91,0.5,23.6,2790.81,7535.92
0.864797,91,0.96,23.6,2792.48,7532.07
1.0648,91,1.43,23.6,2794.18,7528.18
1.26507,91,1.84,23.6,2795.9,7524.24
1.4648,91,2.29,23.6,2797.65,7520.23
1.6648,91,2.7,23.6,2799.44,7516.13
1.86507,91,2.97,23.6,2801.26,7511.96
2.0648,91,3.43,23.6,2803.1,7507.74
2.2648,91,3.78,23.6,2804.95,7503.48
2.46507,91,4.18,23.6,2806.83,7499.17
2.6648,91,4.55,23.6,2808.73,7494.82
2.8648,91,4.93,23.6,2810.65,7490.42
3.06507,91,5.38,23.6,2812.6,7485.95
3.2648,91,5.77,23.6,2814.57,7481.43
3.28699,448,0.51,23.6,2814.57,7481.43
3.4648,91,6.27,23.6,2816.56,7476.86
3.48672,448,1,23.6,2816.56,7476.86
3.66507,91,6.61,23.6,2818.57,7472.25
3.68672,448,1.5,23.6,2818.57,7472.25
3.8648,91,7.08,23.6,2820.61,7467.59
3.88699,448,1.9,23.6,2820.61,7467.59
4.0648,91,7.45,23.6,2822.67,7462.85
4.08672,448,2.41,23.6,2822.67,7462.85
4.26507,91,6.55,23.6,2824.78,7458.03
4.28672,448,1.57,23.6,2824.78,7458.03
